Rk,G,Date,Age,Tm,,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,10/31/97,19-069,LAL,,UTA,W (+17),0,32:57:00,5,13,0.385,0,2,0,13,14,0.929,0,3,3,5,1,0,1,1,23,19.5
2,2,11/4/97,19-073,LAL,@,SAC,W (+3),0,21:06,2,10,0.2,0,2,0,0,0,,2,1,3,3,2,1,3,1,4,0.9
3,3,11/7/97,19-076,LAL,,NYK,W (+5),0,19:30,1,9,0.111,0,2,0,2,3,0.667,0,1,1,1,1,0,0,2,4,-1.1
4,4,11/9/97,19-078,LAL,,GSW,W (+35),0,23:44,11,18,0.611,2,3,0.667,1,2,0.5,2,1,3,5,3,1,0,1,25,24.9
5,,11/11/97,19-080,LAL,@,DAL,W (+22),Not With Team,,,,,,,,,,,,,,,,,,,,
6,,11/13/97,19-082,LAL,@,SAS,W (+9),Not With Team,,,,,,,,,,,,,,,,,,,,
7,,11/14/97,19-083,LAL,@,HOU,W (+10),Did Not Dress,,,,,,,,,,,,,,,,,,,,
8,5,11/16/97,19-085,LAL,,VAN,W (+26),0,16:13,2,6,0.333,1,4,0.25,6,6,1,0,1,1,1,0,0,2,2,11,5.8
9,6,11/18/97,19-087,LAL,@,UTA,W (+5),0,28:58:00,4,10,0.4,0,2,0,11,12,0.917,1,4,5,2,0,2,2,2,19,15.1
10,7,11/19/97,19-088,LAL,,MIN,W (+25),0,33:31:00,9,18,0.5,1,5,0.2,1,1,1,0,3,3,3,2,0,2,2,20,13.2
11,8,11/23/97,19-092,LAL,,LAC,W (+17),0,29:06:00,8,21,0.381,0,2,0,8,9,0.889,3,2,5,4,4,0,1,3,24,19.4
12,9,11/25/97,19-094,LAL,@,MIA,L (-17),0,27:06:00,7,21,0.333,1,5,0.2,1,5,0.2,2,0,2,3,3,0,2,2,16,6.2
13,10,11/26/97,19-095,LAL,@,BOS,W (+15),0,27:58:00,5,11,0.455,1,1,1,3,8,0.375,2,3,5,2,1,0,7,1,14,3.6
14,11,11/28/97,19-097,LAL,@,PHI,L (-10),0,22:41,7,11,0.636,3,5,0.6,2,5,0.4,1,1,2,1,0,1,4,4,19,9.7
15,12,11/30/97,19-099,LAL,,TOR,W (+6),0,18:44,2,8,0.25,0,1,0,2,2,1,0,5,5,3,1,0,2,3,6,2.6
16,13,12/3/97,19-102,LAL,@,DEN,W (+18),0,23:58,3,10,0.3,1,3,0.333,3,4,0.75,1,3,4,5,0,2,2,1,10,7.9
17,14,12/5/97,19-104,LAL,,SAS,W (+10),0,27:09:00,4,10,0.4,1,3,0.333,8,8,1,1,3,4,5,3,0,0,1,17,19.3
18,15,12/7/97,19-106,LAL,,CLE,L (-10),0,28:35:00,5,15,0.333,2,4,0.5,9,10,0.9,1,3,4,2,0,0,1,5,21,12.1
19,16,12/8/97,19-107,LAL,@,POR,L (-6),0,25:08:00,6,14,0.429,1,3,0.333,6,8,0.75,0,2,2,1,1,0,3,3,19,8.9
20,17,12/10/97,19-109,LAL,@,GSW,L (-1),0,30:15:00,7,15,0.467,2,3,0.667,4,8,0.5,3,3,6,4,1,0,2,0,20,15.5
21,18,12/12/97,19-111,LAL,,HOU,W (+17),0,25:47:00,8,15,0.533,2,4,0.5,9,10,0.9,1,4,5,1,2,0,1,1,27,22.5
22,19,12/14/97,19-113,LAL,,DAL,W (+30),0,31:57:00,12,21,0.571,3,7,0.429,3,4,0.75,1,2,3,3,0,0,2,3,30,19.9
23,20,12/16/97,19-115,LAL,@,MIN,W (+13),0,23:10,7,15,0.467,0,2,0,5,5,1,2,4,6,0,0,0,1,3,19,11.7
