Rk,G,Date,Age,Tm,,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,10/31/06,28-069,LAL,,PHO,W (+8),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
2,,11/1/06,28-070,LAL,@,GSW,W (+12),Not With Team,,,,,,,,,,,,,,,,,,,,,
3,1,11/3/06,28-072,LAL,,SEA,W (+6),1,41:05:00,8,15,0.533,0,0,,7,10,0.7,0,4,4,6,1,0,6,3,23,13.7,13
4,2,11/5/06,28-074,LAL,@,SEA,L (-16),1,39:03:00,4,10,0.4,0,4,0,7,8,0.875,0,4,4,9,1,0,3,5,15,12.7,-2
5,3,11/7/06,28-076,LAL,,MIN,W (+7),1,35:24:00,5,7,0.714,0,0,,7,7,1,1,3,4,6,2,0,5,3,17,15.7,9
6,4,11/8/06,28-077,LAL,@,POR,L (-11),1,36:07:00,12,19,0.632,1,5,0.2,7,9,0.778,1,2,3,1,1,0,6,4,32,18.1,-12
7,5,11/10/06,28-079,LAL,,DET,L (-14),1,35:47:00,5,11,0.455,1,4,0.25,8,9,0.889,0,3,3,2,4,0,3,2,19,15.4,-21
8,6,11/12/06,28-081,LAL,,MEM,W (+10),1,38:09:00,7,17,0.412,1,3,0.333,6,7,0.857,1,5,6,6,0,0,5,2,21,12.1,9
9,7,11/17/06,28-086,LAL,,TOR,W (+7),1,40:16:00,10,19,0.526,0,2,0,11,12,0.917,1,10,11,7,0,0,6,2,31,23.1,4
10,8,11/19/06,28-088,LAL,,CHI,W (+10),1,40:12:00,5,14,0.357,1,1,1,7,8,0.875,0,4,4,4,2,0,4,3,18,10.6,3
11,9,11/21/06,28-090,LAL,,LAC,W (+4),1,38:20:00,12,23,0.522,1,1,1,15,18,0.833,2,3,5,5,3,0,1,4,40,33.7,13
12,10,11/24/06,28-093,LAL,@,UTA,L (-6),1,40:54:00,9,18,0.5,2,6,0.333,7,10,0.7,0,5,5,2,1,1,0,1,27,21,-12
13,11,11/26/06,28-095,LAL,,NJN,W (+6),1,42:43:00,8,24,0.333,1,4,0.25,2,4,0.5,2,4,6,10,0,0,2,3,19,11,3
14,12,11/28/06,28-097,LAL,,MIL,L (-4),1,41:04:00,7,23,0.304,6,14,0.429,7,7,1,1,1,2,4,1,1,1,5,27,16.2,10
15,13,11/30/06,28-099,LAL,,UTA,W (+30),1,34:21:00,19,26,0.731,2,3,0.667,12,15,0.8,0,4,4,3,0,1,1,5,52,41.2,22
16,14,12/2/06,28-101,LAL,@,LAC,W (+9),1,39:52:00,11,23,0.478,0,4,0,7,8,0.875,1,4,5,3,1,0,7,3,29,13.7,2
17,15,12/4/06,28-103,LAL,,IND,W (+14),1,21:38,7,16,0.438,3,8,0.375,4,4,1,2,1,3,2,3,1,2,1,21,17,22
18,16,12/6/06,28-105,LAL,,NOK,L (-16),1,37:03:00,10,17,0.588,2,6,0.333,2,2,1,0,2,2,4,2,0,1,3,24,19.3,-8
19,,12/8/06,28-107,LAL,,ATL,W (+11),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
20,17,12/10/06,28-109,LAL,,SAS,W (+7),1,39:25:00,13,25,0.52,4,5,0.8,4,4,1,2,6,8,1,3,0,4,2,34,23.8,2
21,18,12/12/06,28-111,LAL,@,HOU,W (+8),1,42:54:00,8,26,0.308,2,8,0.25,5,6,0.833,0,8,8,7,1,0,4,3,23,10.7,18
22,19,12/13/06,28-112,LAL,@,DAL,L (-9),1,43:33:00,9,18,0.5,1,6,0.167,14,17,0.824,2,5,7,4,2,1,4,3,33,26,-4
23,20,12/15/06,28-114,LAL,,HOU,W (+11),1,54:01:00,17,38,0.447,5,8,0.625,14,16,0.875,0,10,10,8,2,1,5,1,53,38.3,20
24,21,12/17/06,28-116,LAL,,WAS,L (-6),1,46:47:00,15,24,0.625,7,11,0.636,8,10,0.8,2,6,8,10,1,1,4,5,45,39.3,6
25,22,12/19/06,28-118,LAL,@,CHI,L (-5),1,38:00:00,6,19,0.316,0,5,0,7,8,0.875,0,3,3,4,0,1,4,6,19,5.7,-6
26,23,12/20/06,28-119,LAL,@,MIN,W (+17),1,30:18:00,10,17,0.588,0,1,0,4,6,0.667,0,3,3,6,2,1,2,2,24,20.3,-10
27,24,12/22/06,28-121,LAL,@,NJN,W (+4),1,39:57:00,4,13,0.308,2,5,0.4,11,12,0.917,0,6,6,11,0,0,3,4,21,18,2
28,25,12/25/06,28-124,LAL,@,MIA,L (-16),1,37:55:00,4,17,0.235,0,4,0,8,9,0.889,0,2,2,4,1,0,3,4,16,5.1,-19
29,26,12/27/06,28-126,LAL,@,ORL,W (+13),1,36:23:00,8,22,0.364,0,3,0,11,12,0.917,0,3,3,7,2,1,3,4,27,18.3,11
30,27,12/29/06,28-128,LAL,@,CHA,L (-9),1,54:28:00,22,45,0.489,4,11,0.364,10,12,0.833,0,5,5,4,0,0,4,6,58,32.4,5
31,28,12/31/06,28-130,LAL,,PHI,W (+10),1,38:29:00,15,22,0.682,3,6,0.5,2,2,1,1,7,8,6,1,0,2,1,35,31.2,13
32,29,1/4/07,28-134,LAL,@,SAC,W (+4),1,48:07:00,11,21,0.524,3,5,0.6,17,20,0.85,3,7,10,9,0,0,4,5,42,35,6
33,30,1/5/07,28-135,LAL,,DEN,W (+19),1,27:36:00,2,9,0.222,1,4,0.25,3,4,0.75,1,4,5,10,0,0,3,3,8,6.8,19
34,31,1/7/07,28-137,LAL,,DAL,W (+3),1,40:57:00,9,20,0.45,0,2,0,8,9,0.889,0,8,8,6,1,1,3,3,26,19.3,13
35,32,1/9/07,28-139,LAL,@,MEM,L (-10),1,29:45:00,7,15,0.467,2,6,0.333,9,9,1,0,3,3,6,3,2,3,2,25,23,-16
36,33,1/10/07,28-140,LAL,@,HOU,L (-25),1,34:03:00,6,18,0.333,0,3,0,8,9,0.889,1,5,6,1,1,0,2,2,20,10.5,-17
37,34,1/12/07,28-142,LAL,,ORL,W (+3),1,39:39:00,9,15,0.6,0,2,0,10,11,0.909,2,6,8,7,1,0,2,3,28,26.6,4
38,35,1/15/07,28-145,LAL,,MIA,W (+6),1,43:47:00,11,24,0.458,0,2,0,3,3,1,1,3,4,8,0,1,1,2,25,18.7,2
39,36,1/17/07,28-147,LAL,@,SAS,W (+4),1,36:12:00,12,19,0.632,0,2,0,10,11,0.909,0,6,6,8,1,0,7,2,34,25.7,10
40,37,1/18/07,28-148,LAL,@,DAL,L (-19),1,33:30:00,8,18,0.444,0,3,0,10,11,0.909,1,2,3,5,0,0,6,3,26,13.8,-17
