Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,12/25/11,33-124,LAL,,CHI,L (-1),1,35:24:00,11,23,0.478,0,1,0,6,7,0.857,0,7,7,6,2,0,8,3,28,15,-7
2,2,12/26/11,33-125,LAL,@,SAC,L (-9),1,38:22:00,10,24,0.417,0,4,0,9,10,0.9,2,3,5,6,2,0,2,4,29,20.7,-4
3,3,12/27/11,33-126,LAL,,UTA,W (+25),1,30:51:00,8,17,0.471,3,5,0.6,7,8,0.875,0,8,8,5,1,1,3,1,26,21.1,33
4,4,12/29/11,33-128,LAL,,NYK,W (+17),1,33:43:00,10,17,0.588,1,3,0.333,7,10,0.7,0,4,4,6,1,1,5,3,28,19.8,7
5,5,12/31/11,33-130,LAL,,DEN,W (+3),1,33:26:00,6,18,0.333,0,5,0,5,6,0.833,2,8,10,9,1,0,4,4,17,11.9,10
6,6,1/1/12,33-131,LAL,@,DEN,L (-9),1,36:39:00,6,28,0.214,1,8,0.125,3,4,0.75,0,2,2,4,1,0,6,3,16,-4.4,-17
7,7,1/3/12,33-133,LAL,,HOU,W (+9),1,36:51:00,14,29,0.483,2,7,0.286,7,9,0.778,2,6,8,6,0,1,2,0,37,27.6,1
8,8,1/5/12,33-135,LAL,@,POR,L (-11),1,36:03:00,13,24,0.542,0,4,0,4,5,0.8,2,6,8,3,0,0,4,2,30,18.5,-3
9,9,1/6/12,33-136,LAL,,GSW,W (+7),1,41:09:00,13,28,0.464,1,3,0.333,12,14,0.857,1,3,4,7,0,0,3,1,39,26.9,13
10,10,1/8/12,33-138,LAL,,MEM,W (+8),1,38:09:00,11,22,0.5,1,5,0.2,3,6,0.5,1,1,2,9,0,1,4,0,26,17.8,8
11,11,1/10/12,33-140,LAL,,PHO,W (+16),1,39:07:00,18,31,0.581,0,3,0,12,13,0.923,0,5,5,3,3,0,2,2,48,36.9,16
12,12,1/11/12,33-141,LAL,@,UTA,W (+3),1,42:37:00,14,31,0.452,1,3,0.333,11,11,1,1,7,8,4,1,1,3,3,40,27,10
13,13,1/13/12,33-143,LAL,,CLE,W (+5),1,40:48:00,15,31,0.484,4,7,0.571,8,10,0.8,3,2,5,3,3,0,6,3,42,26.1,11
14,14,1/14/12,33-144,LAL,@,LAC,L (-8),1,44:22:00,14,28,0.5,2,5,0.4,12,14,0.857,0,7,7,4,2,1,2,3,42,31.6,-9
